#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;533000;1.0005587091932648;0.9997528163968243;0.9998764005600014;0.9993180723659748;0.001;14.989
waiting time/customer;533000;138763.97020769946;5.901170604775678E9;76819.07708880444;0.5535952666518765;4934.212;271716.793
temp batch waiting counter;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
